SMILES	Actividad	R1_CC(C)=CCCC(C)=CCCC(C)=CC[*:1]	R1_CC(C)=CCCC(C)=CC[*:1]	R1_CC(C)=CC[*:1]	R1_CCCC[*:1]	R2_O[*:2]	R2_[H][*:2]	R3_O[*:3]	R3_[H][*:3]	R4_O[*:4]	R4_[H][*:4]	R5_C(O[*:5])O[*:6]	R5_CO[*:5]	R5_O[*:5]	R5_[H][*:5]	R6_C(O[*:5])O[*:6]	R6_CO[*:6]	R6_O[*:6]	R6_[H][*:6]
C1C(O)=C(O)C(O)=C(C(=O)OCCCC)C=1	3.48704892002751	0	0	0	1	0	1	0	1	1	0	0	0	1	0	0	0	1	0
C1C(O)=C(O)C(O)=C(C(=O)OC/C=C(\C)/C)C=1	3.7687853520374	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	1	0
C1C(O)=C(O)C(O)=C(C(=O)OC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/C)C=1	3.91901295308911	1	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	1	0
C12OCOC1=CC=C(C(=O)OCCCC)C=2	3.57202728639179	0	0	0	1	0	1	0	1	0	1	1	0	0	0	1	0	0	0
C12OCOC1=CC=C(C(=O)OC/C=C(\C)/C)C=2	3.64206515299955	0	0	1	0	0	1	0	1	0	1	1	0	0	0	1	0	0	0
C12OCOC1=CC=C(C(=O)OC/C=C(\C)/CC/C=C(\C)/C)C=2	3.84254323186577	0	1	0	0	0	1	0	1	0	1	1	0	0	0	1	0	0	0
C1C(OC)=CC=C(C(=O)OCCCC)C=1	3.7307206102281	0	0	0	1	0	1	0	1	0	1	0	0	0	1	0	1	0	0
C1C(O)=C(OC)C=C(C(=O)OCCCC)C=1	3.53417118464256	0	0	0	1	0	1	0	1	0	1	0	1	0	0	0	0	1	0
C1C(O)=C(OC)C=C(C(=O)OC/C=C(\C)/C)C=1	3.529883646849	0	0	1	0	0	1	0	1	0	1	0	1	0	0	0	0	1	0
C1C(O)=C(OC)C=C(C(=O)OC/C=C(\C)/CC/C=C(\C)/C)C=1	3.55877632575739	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	1	0
C1C(O)=C(OC)C=C(C(=O)OC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/C)C=1	3.9303319030884	1	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	1	0
CCCCOC(=O)c1ccc(OC)c(O)c1	3.48999148705977	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	1	0	0
